к слово сказать, {'Literature': 11}
как нарочно, {'Literature': 5}
пустой кошелек, {'Literature': 2}
кровь из нос, {'Literature': 6}
кусок хлеб, {'Literature': 10}
лоб в лоб, {'News': 8}
ловить себя на мысль, {'Literature': 10}
мастер на весь рука, {'Literature': 4}
между дело, {'Literature': 4}
на взгляд, {'Literature': 17}
на весь рука, {'Literature': 5}
на зависть, {'Literature': 4}
на закуска, {'Literature': 2}
на один нога, {'Literature': 15}
на один дыхание, {'Literature': 4}
на отшиб, {'Literature': 3}
на первый взгляд, {'Literature': 19}
на полуслово, {'Literature': 7}
на свой страх, {'News': 2}
на стража, {'Literature': 2}
на что свет, {'Literature': 3}
не к добро, {'Literature': 2}
не по нрав, {'Literature': 3}
не покладать рука, {'Literature': 6}
не прочь, {'Literature': 6}
не успевать оглянуться, {'Literature': 2}
нечистый на рука, {'News': 2}
ни за какой деньги, {'Literature': 5}
ни за какой коврижка, {'Literature': 2}
ни капелька, {'Literature': 5}
ни на что не похожий, {'Literature': 2}
ни свет ни заря, {'Literature': 4}
ничто не стоить, {'Literature': 2}
ничто подобный, {'Literature': 20}
один конец, {'Literature': 6}
от малый до большой, {'Literature': 3}
от печка, {'Literature': 2}
от природа, {'Literature': 7}
переступать за порог, {'Literature': 2}
пункт за пункт, {'News': 6}
по свой добрый воля, {'Literature': 2}
под конец, {'Literature': 7}
подымать высоко, {'Literature': 2}
попадать под рука, {'Literature': 6}
последний капля, {'Literature': 5}
ставить перед факт, {'News': 2}
раз два да и обчесться, {'Literature': 3}
рука в рука, {'Literature': 11}
рука не доходить, {'Literature': 4}
с закрытый глаз, {'Literature': 6}
с такой же успех, {'Literature': 2}
с хвостик, {'Literature': 5}
сбиваться с путь, {'Literature': 3}
светлый голова, {'Literature': 2}
свой порядок, {'Literature': 2}
себя дорогой, {'Literature': 2}
сквозь зуб, {'Literature': 16}
слово за слово, {'Literature': 4}
смертный грех, {'Literature': 2}
собираться с мысль, {'Literature': 5}
сплошь и рядом, {'News': 2}
старый песня, {'Literature': 5}
стучаться в дверь, {'Literature': 3}
так или иначе, {'News': 16}
там и тут, {'Literature': 3}
тишь да гладь, {'Literature': 5}
только держаться, {'Literature': 3}
топтаться на место, {'Literature': 3}
трещать по шов, {'Literature': 2}
чем свет, {'Literature': 3}
чем черт не шутить, {'Literature': 2}
через голова, {'Literature': 5}
чуть свет, {'Literature': 2}
шаг за шаг, {'Literature': 5}
душа не слышать, {'Literature': 6}
не в лад, {'Literature': 2}
темный лес, {'Literature': 3}
на первый пора, {'Literature': 2}
не робкий десяток, {'Literature': 2}
в высокий степень, {'News': 2}
язык чесать, {'Literature': 3}
за порог, {'Literature': 7}
ловить себя, {'Literature': 3}
по добро по здорову, {'Literature': 2}
не на шутка, {'Literature': 12}
не верить глаз, {'Literature': 14}
не выходить из ум, {'Literature': 3}
не грех, {'Literature': 2}
не думанно не гаданно, {'Literature': 3}
без удерж, {'News': 1}
без грош, {'Literature': 1}
без дальний слово, {'Literature': 4}
без душа, {'Literature': 7}
без задний нога, {'Literature': 2}
без запинка, {'Literature': 3}
без затея, {'Literature': 2}
без конец и край, {'Literature': 1}
без мера, {'Literature': 3}
без усталь, {'Literature': 8}
белый муха, {'Literature': 2}
разбередить душа, {'Literature': 2}
битый час, {'Literature': 1}
бить в глаз, {'Literature': 2}
бить в набат, {'Literature': 1}
звонить во весь колокол, {'News': 1}
бить тревога, {'Lit/News': 2}
бить через край, {'Literature': 3}
бог обижать, {'Literature': 1}
божий милость, {'Literature': 1}
большой рука, {'Literature': 5}
брать бык за рог, {'Literature': 1}
бросать в лицо, {'Literature': 2}
бросать якорь, {'Literature': 1}
за один присест, {'Literature': 2}
в голос, {'Literature': 77}
в мешочек, {'Literature': 4}
в новинка, {'Literature': 1}
в оба конец, {'Literature': 1}
в общий и целый, {'News': 1}
в один мгновение, {'Literature': 7}
в охотка, {'Literature': 2}
в пика, {'News': 3}
в подпитие, {'Literature': 1}
в потемки, {'Literature': 1}
в пух и в прах, {'Literature': 2}
в разрез, {'Literature': 5}
в унисон, {'Literature': 12}
валить в куча, {'Lit/News': 1}
с больной голова на здоровый, {'Literature': 1}
сваливать с нога, {'Literature': 1}
валиться из рука, {'Literature': 2}
вбивать в голова, {'Literature': 1}
вверх дно, {'Literature': 3}
вверх нога, {'Literature': 2}
вдоль и поперек, {'Literature': 3}
веко вечный, {'Literature': 1}
большой важность, {'Literature': 1}
вернуться на грешный земля, {'Literature': 2}
приходить в ум, {'Literature': 3}
взваливать на плечо, {'Literature': 1}
взять в толк, {'Literature': 4}
видать ли это дело, {'Literature': 1}
видеть бог, {'Literature': 3}
виновник торжество, {'Lit/News': 1}
повисать в воздух, {'Literature': 8}
висеть над голова, {'Literature': 1}
вкривь и вкось, {'Literature': 1}
залезать в душа, {'Literature': 1}
влетать в копеечка, {'News': 1}
вне конкуренция, {'News': 1}
во весь голос, {'Literature': 4}
во весь рот, {'Literature': 1}
во весь конец, {'Literature': 2}
во весь прыть, {'Literature': 2}
изо весь сила, {'Literature': 44}
возить вода, {'Literature': 1}
входить в раж, {'Literature': 1}
воля случай, {'Literature': 2}
воля судьба, {'Literature': 4}
вольный птица, {'Literature': 1}
свертывать гора, {'Literature': 1}
воспрянуть дух, {'Literature': 1}
вот поди ж ты, {'Literature': 1}
время терпеть, {'Literature': 1}
все до один, {'Literature': 2}
ходить ходенем, {'Literature': 5}
все и каждый, {'News': 1}
вставать на крыло, {'Literature': 1}
вставать на свой место, {'Literature': 3}
всыпать пара горячий, {'Literature': 1}
выбрасывать из голова, {'Literature': 3}
выводить в человек, {'Literature': 1}
выживать из ум, {'Literature': 3}
выкидывать из голова, {'Literature': 3}
вырывать с корень, {'Literature': 3}
высматривать весь глаз, {'Literature': 1}
где наш не пропадать, {'Literature': 1}
где слыхать, {'Literature': 1}
гладить по головка, {'Literature': 10}
глаз и ухо, {'Literature': 1}
глотать слеза, {'Literature': 1}
гнуть свой, {'Literature': 2}
гнуть свой линия, {'Literature': 1}
говорить на разный язык, {'Literature': 1}
быть голова высокий, {'Literature': 5}
горячий голова, {'News': 2}
горячий денек, {'Literature': 1}
готовый сквозь земля проваливаться, {'Literature': 1}
греть рука, {'Literature': 1}
гриб съедать, {'Literature': 1}
и то сказать, {'Literature': 1}
давать воля слеза, {'Literature': 1}
давать жар, {'Literature': 2}
давать пинкарь, {'Literature': 3}
девать некуда, {'Literature': 2}
делать погода, {'Lit/News': 1}
дело весь жизнь, {'Literature': 1}
держать марка, {'Literature': 2}
держать на привязь, {'News': 1}
для очистка совесть, {'Literature': 1}
до бесконечность, {'Literature': 5}
до кость, {'Literature': 3}
до крайность, {'Literature': 2}
до последний запятая, {'News': 1}
